x,y,z,sum_intensity_in_photons,bg_per_punctum,bg_per_pixel,zi,zf,overlap_with_bulk_stain,image_filename
34.0,167.0,10.0,189.3929901123047,1391.600341796875,23.19333839416504,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
34.0,576.0,10.0,282.8145446777344,1609.50439453125,26.8250732421875,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
35.0,356.0,10.0,304.2362976074219,1297.091064453125,21.61818504333496,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
35.0,518.0,10.0,275.11712646484375,982.2183837890625,16.37030601501465,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
35.0,880.0,10.0,164.91299438476562,1364.123779296875,22.735395431518555,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
35.0,1151.0,10.0,239.854736328125,1154.4720458984375,19.241201400756836,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
36.0,614.0,10.0,178.2127227783203,1209.93017578125,20.165502548217773,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
36.0,816.0,10.0,218.06521606445312,1397.13330078125,23.285554885864258,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
36.0,1135.0,10.0,241.39669799804688,1385.431396484375,23.09052276611328,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
37.0,294.0,10.0,218.1138916015625,1215.388671875,20.25647735595703,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
37.0,329.0,10.0,308.5652160644531,1614.19775390625,26.903295516967773,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
38.0,148.0,10.0,113.33856964111328,1086.8406982421875,18.114011764526367,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
39.0,417.0,10.0,568.1616821289062,1399.8773193359375,23.331289291381836,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
39.0,755.0,10.0,228.99752807617188,1415.4012451171875,23.59002113342285,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
40.0,273.0,10.0,182.28851318359375,1056.2978515625,17.604965209960938,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
42.0,603.0,10.0,291.6313171386719,1191.3135986328125,19.855226516723633,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
42.0,866.0,10.0,307.9843444824219,1552.0068359375,25.86678123474121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
43.0,1022.0,10.0,605.1969604492188,1953.8692626953125,32.56448745727539,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
44.0,875.0,10.0,242.3018035888672,1770.6201171875,29.51033592224121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
44.0,455.0,10.0,104.12184143066406,1372.973876953125,22.882898330688477,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
45.0,485.0,10.0,742.4039916992188,3323.38818359375,55.38980484008789,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
45.0,119.0,10.0,99.92465209960938,1051.91650390625,17.53194236755371,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
45.0,522.0,10.0,190.83872985839844,947.8346557617188,15.79724407196045,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
48.0,143.0,10.0,224.6455078125,962.3186645507812,16.038644790649414,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
47.0,973.0,10.0,443.0624084472656,1403.7314453125,23.395523071289062,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
50.0,152.0,10.0,243.66799926757812,1144.8013916015625,19.08002281188965,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
50.0,331.0,10.0,266.3526916503906,1289.90380859375,21.498397827148438,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
50.0,892.0,10.0,366.4075622558594,1338.027587890625,22.300460815429688,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
52.0,853.0,10.0,118.15365600585938,1756.8411865234375,29.28068733215332,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
53.0,220.0,10.0,164.12034606933594,1111.962646484375,18.532711029052734,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
53.0,315.0,10.0,232.8816680908203,998.2844848632812,16.63807487487793,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
53.0,804.0,10.0,201.51876831054688,1293.385986328125,21.556432723999023,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
54.0,776.0,10.0,258.47265625,1433.4564208984375,23.890939712524414,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
55.0,489.0,10.0,630.1544799804688,4143.48095703125,69.05801391601562,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
55.0,956.0,10.0,234.58489990234375,1367.5994873046875,22.793325424194336,10.0,13.0,true,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
56.0,873.0,10.0,196.91432189941406,1590.1513671875,26.50252342224121,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
56.0,431.0,10.0,197.1273193359375,1671.9561767578125,27.865936279296875,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
56.0,989.0,10.0,165.2816619873047,1418.9859619140625,23.64976692199707,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
58.0,125.0,10.0,354.7357482910156,1444.0732421875,24.067888259887695,10.0,13.0,false,/home/jsb92/Documents/pyRASP/example_images/Example_01_ProteinImage_C1.tif
